id,institutionCode,Barcode,Catalog Number,basisOfRecord,informationWithheld,recordNumber,recordedBy,associatedMedia,eventDate,"
  continent",country,countryCode,stateProvince,county,Locality,decimalLatitude ,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,Category,Collector,Type status,Elevation,Habitat,Habit,Soil Type,Associated Species,Detrminavit,More Information
,,STC00069,1016,PreservedSpecimen,A pretty evergreen tree The flower buds frequently covered with yellow,,,,2019-11-22,Asia,India,IN,Kerala,Thrissur,Irinjalakkuda,10.345225,76.201311,WGS100,3000,Carallia brachiata (Lour) Morr,Plantae,,,,Rhizophoraceae,,,,,Angiosperms,Sini K L,No,,,,,,,
,,STC00112,936,PreservedSpecimen,"Slender procumbent herbs. Leaves alternate, ovate-elliptic, flowers in axillary, subsessile clusters, male flowers-ovate, female flowers, style linear, achene 2- winged",,,,2019-10-15,Asia,India,IN,Kerala,Thrissur,Irinjalakkuda,10.345225,76.201311,WGS101,3000,Pouzolzia zeylanica (L.) Bennett,Plantae,,,,Urticaceae,,,,,Angiosperms,Shilpa K S,No,,,,,,,
,,STC00119,734,PreservedSpecimen,"Annual or perennial grass with culms slenders, stout, leaves long",,,,2019-11-30,Asia,India,IN,Kerala,Thrissur,Irinjalakkuda,10.345225,76.201311,WGS102,3000,Pennisetum polystachion (L.) Schutt,Plantae,,,,Poaceae,,,,,Angiosperms,Santhy sasikumar,No,,,,,,,
,,STC00127,740,PreservedSpecimen,"Slender succulent herbs, branches and leaves bifarious, stem transparent, leaves ovate - orbicular. Flowers monoecious.",,,,2019-12-11,Asia,India,IN,Kerala,Thrissur,Irinjalakkuda,10.345225,76.201311,WGS103,3000,Pilea microphylla (L.) Liebm.,Plantae,,,,Urticaceae,,,,,Angiosperms,Santhy Sasikumar,No,,,,,,,
,,STC00075,412,PreservedSpecimen,,,,,2019-9-18,Asia,India,IN,Kerala,Thrissur,Kattakampal,10.692562,76.040498,WGS104,3000,Cardiospermum halicacabum L.,Plantae,,,,Sapindaceae,,,,,Angiosperms,Havlin Antony T,No,,,,,,,
,,STC00062,804,PreservedSpecimen,"Herb with  long trailing branches, leaves simple ovate, obtuse, unequal. Flowers axillary or terminal.",,,,2019-7-14,Asia,India,IN,Kerala,Thrissur,Killimangalam,10.722356,76.318237,WGS105,3000,Boerhavia diffusa L.,Plantae,,,,Nyctaginaceae,,,,,Angiosperms,Shamseena P M,No,,,,,,,
,,STC00076,801,PreservedSpecimen,"Leaves imparpinnate, alternate exstipulate, flowers white in axillary panicles.",,,,2019-6-16,Asia,India,IN,Kerala,Thrissur,Killimangalam,10.722356,76.318237,WGS106,3000,Azardiracta indica A. Juss ,Plantae,,,,Meliaceae,,,,,Angiosperms,Shamseena P M,No,,,,,,,
,,STC00126,841,PreservedSpecimen,"Leaves simple,alternate, apex acute or acuminate, flowers densly packed towards the branch tips, sessile.",,,,2020-5-1,Asia,India,IN,Kerala,Thrissur,Killimangalam,10.722356,76.318237,WGS107,3000,Cyclea peltata (Lam) Hook.f & Thoms,Plantae,,,,Menispermaceae,,,,,Angiosperms,Shamseena P M,No,,,,,,,
,,STC00037,643,PreservedSpecimen,"Rhizomatous aquatic herb, Rhizome often producing long runners. Leaves alternate, elliptic or orbicular. Petioles terte, glabrous. Flowers slightly fragrant. Petals 8 to 15, elliptic - lanceolate. Stamens 20- 60, ovary urceolate, sunken. ",,,,2020-1-20,Asia,India,IN,Kerala,Palakkad,Kootanadu,10.757323,76.117111,WGS108,3000,Nymphaea nouchali Burm. F .,Plantae,,,,Nymphaeaceae,,,,,Angiosperms,Nirosha Paul,No,,,,,,,
,,STC00042,926,PreservedSpecimen,"Annual herb,stems are erect, covered with long stiff hairs,oppositely arranged leaves are elliptic, lance shaped, purple-pink flowers borne in heads, fruit is oblong,4 ribbed",,,,2019-9-14,Asia,India,IN,Kerala,Palakkad,Koottanad,10.757323,76.117111,WGS109,3000,Osbeckia muralis Naud,Plantae,,,,Melastomaceae,,,,,Angiosperms,Shilpa K S,No,,,,,,,
